Title,Description,EpisodeDuration(in Minutes),Genres,Actors,Rating,Votes,Years
Game of Thrones,"Nine noble families fight for control over the lands of Westeros, while an ancient enemy returns after being dormant for millennia.",44,"Action, Adventure, Drama","Emilia Clarke, Peter Dinklage, Kit Harington, Lena Headey",9.3,1823966,2011–2019
Breaking Bad,A high school chemistry teacher diagnosed with inoperable lung cancer turns to manufacturing and selling methamphetamine in order to secure his family's future.,44,"Crime, Drama, Thriller","Bryan Cranston, Aaron Paul, Anna Gunn, Betsy Brandt",9.4,1526926,2008–2013
The Walking Dead,Sheriff Deputy Rick Grimes wakes up from a coma to learn the world is in ruins and must lead a group of survivors to stay alive.,44,"Drama, Horror, Thriller","Andrew Lincoln, Norman Reedus, Melissa McBride, Lauren Cohan",8.2,874725,2010–2022
Stranger Things,"When a young boy disappears, his mother, a police chief and his friends must confront terrifying supernatural forces in order to get him back.",60,"Drama, Fantasy, Horror","Millie Bobby Brown, Finn Wolfhard, Winona Ryder, David Harbour",8.7,864302,2016–
Sherlock,A modern update finds the famous sleuth and his doctor partner solving crime in 21st century London.,88,"Crime, Drama, Mystery","Benedict Cumberbatch, Martin Freeman, Una Stubbs, Rupert Graves",9.1,830345,2010–2017
The Big Bang Theory,A woman who moves into an apartment across the hall from two brilliant but socially awkward physicists shows them how little they know about life outside of the laboratory.,22,"Comedy, Romance","Johnny Galecki, Jim Parsons, Kaley Cuoco, Simon Helberg",8.1,737437,2007–2019
Dexter,"By day, mild-mannered Dexter is a blood-spatter analyst for the Miami police. But at night, he is a serial killer who only targets other murderers.",53,"Crime, Drama, Mystery","Michael C. Hall, Jennifer Carpenter, David Zayas, James Remar",8.6,658516,2006–2021
How I Met Your Mother,A father recounts to his children - through a series of flashbacks - the journey he and his four best friends took leading up to him meeting their mother.,22,"Comedy, Romance","Josh Radnor, Jason Segel, Cobie Smulders, Neil Patrick Harris",8.3,618121,2005–2014
True Detective,"Seasonal anthology series in which police investigations unearth the personal and professional secrets of those involved, both within and outside the law.",55,"Crime, Drama, Mystery","Vince Vaughn, Colin Farrell, Rachel McAdams, Taylor Kitsch",8.9,510795,2014–2019
Lost,The survivors of a plane crash are forced to work together in order to survive on a seemingly deserted tropical island.,44,"Adventure, Drama, Fantasy","Jorge Garcia, Josh Holloway, Yunjin Kim, Evangeline Lilly",8.3,507182,2004–2010
Prison Break,"Due to a political conspiracy, an innocent man is sent to death row and his only hope is his brother, who makes it his mission to deliberately get himself sent to the same prison in order to break the both of them out, from the inside.",44,"Action, Crime, Drama","Dominic Purcell, Wentworth Miller, Amaury Nolasco, Robert Knepper",8.3,487718,2005–2017
House of Cards,A Congressman works with his equally conniving wife to exact revenge on the people who betrayed him.,51,Drama,"Kevin Spacey, Michel Gill, Robin Wright, Kate Mara",8.7,473737,2013–2018
Black Mirror,"An anthology series exploring a twisted, high-tech multiverse where humanity's greatest innovations and darkest instincts collide.",60,"Drama, Sci-Fi, Thriller","Daniel Lapaine, Hannah John-Kamen, Michaela Coel, Beatrice Robertson-Jones",8.8,462587,2011–
Vikings,"Vikings transports us to the brutal and mysterious world of Ragnar Lothbrok, a Viking warrior and farmer who yearns to explore - and raid - the distant shores across the ocean.",22,"Action, Adventure, Drama","Katheryn Winnick, Gustaf Skarsgård, Alexander Ludwig, Georgia Hirst",8.5,451657,2013–2020
The Office,"A mockumentary on a group of typical office workers, where the workday consists of ego clashes, inappropriate behavior, and tedium.",60,Comedy,"Steve Carell, Jenna Fischer, John Krasinski, Rainn Wilson",8.9,441951,2005–2013
Westworld,"Set at the intersection of the near future and the reimagined past, explore a world in which every human appetite can be indulged without consequence.",62,"Drama, Mystery, Sci-Fi","Evan Rachel Wood, Jeffrey Wright, Ed Harris, Thandiwe Newton",8.6,439841,2016–
